group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD56bright,DMAC1,28.164879,1.3389552,1.5753735971398136e-174,2.8773946979722623e-173,0.4143665352305846,0.12946362968405584
CD56bright,H2AFZ,28.145668,1.0827626,2.7075767801049066e-174,4.922866872918012e-173,0.7306703240185154,0.48126377663482733
CD56bright,CLSPN,28.14504,3.2630959,2.7558697498410546e-174,4.9879995472236286e-173,0.2878450197154123,0.032770022042615726
CD56bright,SMC2,28.143148,1.7530568,2.906770932202059e-174,5.237425103066773e-173,0.36790673752785874,0.09933872152828803
CD56bright,UQCRQ,28.091354,0.94751257,1.2493510710565236e-173,2.2409884682628225e-172,0.7546716955254587,0.4470977222630419
CD56bright,SATB1,28.081589,0.9705871,1.6441349662431392e-173,2.9359552968627484e-172,0.6104920281158923,0.2881704628949302
CD56bright,GSTO1,28.073036,1.0797677,2.0911131376366503e-173,3.7175344669096005e-172,0.5304303103034459,0.2185892725936811
CD56bright,PEBP1,28.044983,0.9937003,4.598845245982662e-173,8.139549107933916e-172,0.6350077147265558,0.3032329169728141
CD56bright,GOLIM4,28.015339,1.5577724,1.0567963660838075e-172,1.8621962397952554e-171,0.3732213269329676,0.10022042615723732
CD56bright,PRKDC,27.959206,1.0439818,5.0948036295784136e-172,8.938251981716515e-171,0.6007200411452083,0.29250551065393093
CD56bright,THEM4,27.933994,1.4536636,1.0315814814761775e-171,1.8018890506134103e-170,0.3941368078175896,0.11704628949301984
CD56bright,SSRP1,27.878607,1.1363705,4.8489898848042055e-171,8.433025886616009e-170,0.5102005828904509,0.20984570168993388
CD56bright,MCM5,27.876856,1.3135697,5.091877116601961e-171,8.817103232211188e-170,0.47162695011143496,0.19933872152828802
CD56bright,HDGFL3,27.831665,1.1422662,1.795715268056734e-170,3.0960608069943685e-169,0.4834561974969998,0.18736223365172666
CD56bright,PARP1,27.751816,1.0174423,1.6567286270422098e-169,2.8320147470807003e-168,0.6199211383507629,0.30374724467303454
CD56bright,CDCA7,27.698711,3.2428546,7.236329620013932e-169,1.2317156800023715e-167,0.2806446082633293,0.028508449669360763
CD56bright,GUSB,27.61223,1.1147738,7.935071586890515e-168,1.3449273876085619e-166,0.5023144179667409,0.20426157237325496
CD56bright,TMPO,27.606245,1.1227783,9.363174744580406e-168,1.5802826573131487e-166,0.5748328475912909,0.2964731814842028
CD56bright,IDH2,27.601091,1.0172046,1.079668589929617e-167,1.814569058705239e-166,0.636207783301903,0.33328434974283616
CD56bright,CDT1,27.541586,3.2080526,5.581490722606595e-167,9.341407067124009e-166,0.28167323847076975,0.031447465099191774
CD56bright,PDE7B,27.492887,2.3548892,2.1353863680827172e-166,3.550335955756903e-165,0.3109891993828219,0.0565025716385011
CD56bright,DGCR6L,27.492825,1.0299265,2.139077413343534e-166,3.550335955756903e-165,0.5198011314932282,0.2132990448199853
CD56bright,CACYBP,27.489958,1.0424798,2.314779680113947e-166,3.8260821158908216e-165,0.5753471626950112,0.26965466568699487
CD56bright,MCM2,27.472017,2.472083,3.792372149389793e-166,6.242587900230112e-165,0.3048174181381793,0.051726671565025716
CD56bright,ZFAS1,27.465658,0.9303306,4.5171553877257764e-166,7.405172766763568e-165,0.7003257328990228,0.3605437178545187
CD56bright,DHFR,27.34575,2.1678693,1.2131601746387547e-164,1.9806696728795994e-163,0.3238470769758272,0.07053637031594416
CD56bright,C19orf70,27.32283,0.94865537,2.271808276336442e-164,3.6939971972950277e-163,0.6206068918223898,0.29353416605437177
CD56bright,MCM4,27.309141,2.557986,3.303539154533382e-164,5.3498609790014284e-163,0.2986456368935368,0.04783247612049963
CD56bright,RTRAF,27.291594,0.95627964,5.337334865746315e-164,8.608604622171477e-163,0.6756386079204526,0.3352681851579721
CD56bright,MIS18BP1,27.291334,1.0548218,5.3752906338190426e-164,8.635005034247458e-163,0.518601062917881,0.21947097722263043
CD56bright,NAP1L4,27.27788,0.9218205,7.763265709123208e-164,1.2421225134597133e-162,0.7514143665352306,0.40962527553269656
CD56bright,MMP25-AS1,27.23549,0.9058043,2.4688431055267533e-163,3.934411323548611e-162,0.6790673752785873,0.3493754592211609
CD56bright,CCT5,27.225737,0.97914445,3.2209930200514356e-163,5.112687333414977e-162,0.6238642208126178,0.302939015429831
CD56bright,MTHFD2,27.223377,1.1284765,3.4350507534880576e-163,5.430910282194557e-162,0.47539859420538316,0.18596620132255695
CD56bright,GLO1,27.20752,0.99659926,5.291973187688306e-163,8.333816043603631e-162,0.5667752442996743,0.25628214548126377
